issue_key,project,issue_type,title,description,actual_story_points,predicted_story_points,confidence,complex_flag,subtask_count,subtask_points_sum,subtask_titles,subtasks_json,reasoning,source,rag_story_points,rag_raw_average,rag_confidence,no_rag_fallback,similar_tickets_json
XD-3084,Spring XD,Bug,Wrong self link returned,"When a stream with Spring XD 1.1.1.RELEASE is created the REST methods always replies """"""""/stream/_stream-name_"""""""" as the self link. Unfortunately when this one is called a 404 is returned. So the questions is if this is really intended to work like that. I would expect to get '/stream/definitions/_stream-name_' back instead.  {code:shell} $ curl -F """"""""name=ticktap"""""""" -F """"""""definition=tap:stream:tick > log"""""""" -F """"""""deploy=true"""""""" http://localhost:9393/streams/definitions/ {""""""""name"""""""":""""""""ticktap"""""""",""""""""status"""""""":null,""""""""definition"""""""":""""""""tap:stream:tick > log"""""""",""""""""_links"""""""":{""""""""self"""""""":{""""""""href"""""""":""""""""http://localhost:9393/streams/ticktap""""""""}}}  $ curl http://localhost:9393/streams/definitions/ticktap {""""""""name"""""""":""""""""ticktap"""""""",""""""""status"""""""":""""""""deployed"""""""",""""""""definition"""""""":""""""""tap:stream:tick > log"""""""",""""""""_links"""""""":{""""""""self"""""""":{""""""""href"""""""":""""""""http://localhost:9393/streams/ticktap""""""""}}}  $ curl http://localhost:9393/streams/ticktap {""""""""timestamp"""""""":""""""""2015-05-20T14:20:55.382Z"""""""",""""""""status"""""""":404,""""""""error"""""""":""""""""Not Found"""""""",""""""""message"""""""":""""""""Not Found"""""""",""""""""path"""""""":""""""""/streams/ticktap""""""""} {code}",0,2,0.3,False,0,0,,[],"No similar tickets found in the vector store; estimate is based on ticket details only. The issue involves a REST API endpoint returning a 404 for what appears to be the correct resource path, which is a client-side or configuration error rather than complex backend logic. The scope is limited to diagnosing and verifying this behavior.",llm:olmo-3-7b-instruct+no-retrieval,,,,True,[]
DM-23402,Lsstcorp Data management,Story,Configure database backups,h1. Configure database backups,0,3,0.45,False,0,0,,[],"No similar tickets found in the vector store; estimate is based on ticket details only. This ticket involves setting up automated backup configurations for a database, which is a moderate effort requiring some planning and configuration but not extensive development.",llm:olmo-3-7b-instruct+no-retrieval,,,,True,[]
EVG-8192,The MongoDB Engineering,Task,Variables should be optional in strict project yaml validation,"People seem to conventionally use it for defining extra yaml stuff like anchors, but it's not required as part of the project config.",0,2,0.45,False,0,0,,[],"No similar tickets found in the vector store; estimate is based on ticket details only. This task involves modifying a configuration validation rule to allow optional variables, which is a relatively small change in the schema definition.",llm:olmo-3-7b-instruct+no-retrieval,,,,True,[]
DM-1474,Lsstcorp Data management,Story,Port obs_subaru to new CameraGeom,"Testing and improving the deblender is something that really needs to be done on real data of approximately LSST quality, and that makes HSC data a good choice.  But first we need to fix the bitrotted obs_subaru package so we can use the LSST stack (not its HSC fork) to process that data.",0,5,0.45,True,0,0,,[],"No similar tickets found in the vector store; estimate is based on ticket details only. This task involves both fixing a broken package and adapting it for new geometry, which requires moderate effort but is within standard single-story point range.",llm:olmo-3-7b-instruct+no-retrieval,,,,True,[]
TIMOB-24549,The Titanium SDK ,Epic,TiAPI: Add support for Promises,"""""""""The modern development world is highly asynchronous"""""""".    I agree, so we should add support for promises that can be used from the JS world to improve the general callback structure. On the native side, we should a new class """"""""TiPromise"""""""" that can be used in the SDK, native modules and Hyperloop to allow promises.    I am not completely sure about the architecture so far, but we should definitely talk about it!",0,13,0.45,True,0,0,,[],"No similar tickets found in the vector store; estimate is based on ticket details only. This epic involves adding a new asynchronous abstraction (TiPromise) that integrates with both JS and native code, which requires substantial design and implementation effort beyond simple feature additions.",llm:olmo-3-7b-instruct+no-retrieval,,,,True,[]
MULE-6417,Mule,Bug,/ by zero in ComponentStatistics,"Recently I have been querying JMX statistics periodically via the MXBean interface (domain=Mule.*, type=org.mule.Statistics). After collecting statistics for each MBean, I reset the bean by invoking """"""""clearStatistics"""""""" with no arguments, so that I can come back and collect fresh statistics later.    Howeven, when I do this while mule is under load, I see that the ComponentStatistics class starts to throw an exception on a divide-by-zero error. It tends to happen on multiple processor threads, and it seems to be a persistent issue - i.e. it throws the error every few seconds until I restart mule. I am uncertain if a message is trapped in limbo due to the repeated exception, but I think it may be as the message seems to repeat over and over again.    ERROR org.mule.exception.DefaultMessagingExceptionStrategy - Caught exception in Exception Strategy: / by zero  java.lang.ArithmeticException: / by zero          at org.mule.management.stats.ComponentStatistics.addExecutionBranchTime(ComponentStatistics.java:163)          at org.mule.management.stats.FlowConstructStatistics.addFlowExecutionBranchTime(FlowConstructStatistics.java:110)          at org.mule.management.stats.ProcessingTime.addFlowExecutionBranchTime(ProcessingTime.java:95)          at org.mule.interceptor.ProcessingTimeInterceptor.last(ProcessingTimeInterceptor.java:53)          at org.mule.interceptor.AbstractEnvelopeInterceptor.process(AbstractEnvelopeInterceptor.java:61)          at org.mule.processor.AsyncInterceptingMessageProcessor.processNextTimed(AsyncInterceptingMessageProcessor.java:111)          at org.mule.processor.AsyncInterceptingMessageProcessor$AsyncMessageProcessorWorker.doRun(AsyncInterceptingMessageProcessor.java:158)          at org.mule.work.AbstractMuleEventWork.run(AbstractMuleEventWork.java:43)          at org.mule.work.WorkerContext.run(WorkerContext.java:310)          at java.util.concurrent.ThreadPoolExecutor$CallerRunsPolicy.rejectedExecution(ThreadPoolExecutor.java:1746)          at java.util.concurrent.ThreadPoolExecutor.reject(ThreadPoolExecutor.java:767)          at java.util.concurrent.ThreadPoolExecutor.execute(ThreadPoolExecutor.java:658)          at org.mule.work.ScheduleWorkExecutor.doExecute(ScheduleWorkExecutor.java:41)          at org.mule.work.MuleWorkManager.executeWork(MuleWorkManager.java:250)          at org.mule.work.MuleWorkManager.scheduleWork(MuleWorkManager.java:218)          at org.mule.processor.SedaStageInterceptingMessageProcessor.run(SedaStageInterceptingMessageProcessor.java:233)          at org.mule.work.WorkerContext.run(WorkerContext.java:310)          at java.util.concurrent.ThreadPoolExecutor$Worker.runTask(ThreadPoolExecutor.java:886)          at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:908)          at java.lang.Thread.run(Thread.java:662)",0,3,0.2,False,0,0,,[],"No similar tickets found in the vector store; estimate is based on ticket details only. This is a bug in the Mule management code related to division by zero during statistics calculation, which indicates a logic flaw rather than a major architectural change. The scope appears to be within the Statistics tracking and arithmetic operations of ComponentStatistics, not involving new features or large-scale refactoring.",llm:olmo-3-7b-instruct+no-retrieval,,,,True,[]
EVG-6568,The MongoDB Engineering,Bug,New patch page loads huge documents containing data not immediately needed by views,"When I go to http://evergreen.spruce.s3-website-us-east-1.amazonaws.com/#/patches?user=<USER> I see that https://evergreen.mongodb.com/json/patches/user/<USER>page=0 is loaded which - currently for me - is a 6 MB json document. Processing this amount of data brings Firefox to its knees, and while Chromium appears to more or less cope it still takes a long time.    The application should intelligently load a sensible amount of data that it requires for presenting the current views instead of trying to load all data it might ever need up front.",0,5,0.45,False,0,0,,[],"No similar tickets found in the vector store; estimate is based on ticket details only. The issue involves loading large documents on the patch page, which causes performance problems for users. However, the core problem is about optimizing data fetching to only load necessary data for immediate views rather than all possible data at once. This requires a change in how data is loaded and presented but does not involve complex system architecture or multiple major components.",llm:olmo-3-7b-instruct+no-retrieval,,,,True,[]
EVG-6525,The MongoDB Engineering,Task,Agent monitor needs its own log prefix,This should be done to allow the agent monitor log files to be differentiated from the agent log files.,0,2,0.45,False,0,0,,[],"No similar tickets found in the vector store; estimate is based on ticket details only. The task involves adding a unique log prefix to a specific log file, which is a straightforward configuration change requiring minimal implementation effort.",llm:olmo-3-7b-instruct+no-retrieval,,,,True,[]
EVG-7309,The MongoDB Engineering,New Feature,Mutation to remove favorite project from user,"Given a project id, remove project from user's favorites",0,2,0.45,False,0,0,,[],No similar tickets found in the vector store; estimate is based on ticket details only. This is a straightforward API change to remove a favorite project for a user based on an existing project ID. No complex data transformations or external dependencies are implied by the description.,llm:olmo-3-7b-instruct+no-retrieval,,,,True,[]
EVG-8084,The MongoDB Engineering,Bug,Host should decommission once max provision attempts is exceeded,"There's an off by one error where, because we increment the provision count at the end of the job, the condition {{shouldRetryProvisioning()}} will never return false, so the host will not decommission immediately when it runs out of attempts (it'll be caught by the 25 minute timeout, but it would be better for it to fail fast).",0,3,0.45,False,0,0,,[],"No similar tickets found in the vector store; estimate is based on ticket details only. This is a logic bug in the host's behavior related to provisioning attempts, but does not involve new features or major architecture changes. The fix appears to be a simple correction of an off-by-one error.",llm:olmo-3-7b-instruct+no-retrieval,,,,True,[]
