issue_key,ticket_title,ticket_description,subtask_title,subtask_reasoning,label
NEXUS-8216,Search indexing appears to miss some components,"Steps to replicate:    1. Create a nuget proxy repo (name: 'nugetproxy'), using this configuration:    {    """"""""view"""""""" : {      """"""""online"""""""" : true    },    """"""""nugetProxy"""""""" : { },    """"""""proxy"""""""" : {      """"""""remoteUrl"""""""" : """"""""http://www.nuget.org/api/v2/"""""""",      """"""""artifactMaxAge"""""""" : 5    },    """"""""httpclient"""""""" : {      """"""""connection"""""""" : {        """"""""retries"""""""" : 2,        """"""""timeout"""""""" : 20000      }    },    """"""""storage"""""""" : { }  }    2. Add some metadata to the proxy. Open a browser to:  http://localhost:8081/repository/nugetproxy/Packages()?$orderby=DownloadCount%20desc&$filter=IsLatestVersion&$skip=0&$top=15&$select=Id,Version,Authors,DownloadCount,VersionDownloadCount,PackageHash,PackageSize,Published&$inlinecount=allpages    Notice that the XML contains 15 entries (15 instances of """"""""<entry>""""""""), each with different IDs.  (Leave that browser window open.)    3. Do a component search for 'nuget'.  I get only 1 entry, I'm expecting 15.    I notice that the one search result is the last component in the XML feed.    Under some circumstances, when I had a breakpoint set on the indexing (to ensure that the nuget code was actually sending index requests to the search system), I got more search results.    It seems almost as if the index has a buffer that's being overwritten.    4. The component metadata does seem to be intact:    orient:connect plocal:../sonatype-work/nexus/db/component admin admin  orient:select * from component    (I get 15 results.)",Investigate indexing process,Review the indexing code and configuration to understand how it interacts with the search system and identify potential bottlenecks or issues.,
NEXUS-8216,Search indexing appears to miss some components,"Steps to replicate:    1. Create a nuget proxy repo (name: 'nugetproxy'), using this configuration:    {    """"""""view"""""""" : {      """"""""online"""""""" : true    },    """"""""nugetProxy"""""""" : { },    """"""""proxy"""""""" : {      """"""""remoteUrl"""""""" : """"""""http://www.nuget.org/api/v2/"""""""",      """"""""artifactMaxAge"""""""" : 5    },    """"""""httpclient"""""""" : {      """"""""connection"""""""" : {        """"""""retries"""""""" : 2,        """"""""timeout"""""""" : 20000      }    },    """"""""storage"""""""" : { }  }    2. Add some metadata to the proxy. Open a browser to:  http://localhost:8081/repository/nugetproxy/Packages()?$orderby=DownloadCount%20desc&$filter=IsLatestVersion&$skip=0&$top=15&$select=Id,Version,Authors,DownloadCount,VersionDownloadCount,PackageHash,PackageSize,Published&$inlinecount=allpages    Notice that the XML contains 15 entries (15 instances of """"""""<entry>""""""""), each with different IDs.  (Leave that browser window open.)    3. Do a component search for 'nuget'.  I get only 1 entry, I'm expecting 15.    I notice that the one search result is the last component in the XML feed.    Under some circumstances, when I had a breakpoint set on the indexing (to ensure that the nuget code was actually sending index requests to the search system), I got more search results.    It seems almost as if the index has a buffer that's being overwritten.    4. The component metadata does seem to be intact:    orient:connect plocal:../sonatype-work/nexus/db/component admin admin  orient:select * from component    (I get 15 results.)",Verify search system configuration,Check the search system configuration to ensure it is properly set up to handle the nuget proxy repository and its metadata.,
NEXUS-8216,Search indexing appears to miss some components,"Steps to replicate:    1. Create a nuget proxy repo (name: 'nugetproxy'), using this configuration:    {    """"""""view"""""""" : {      """"""""online"""""""" : true    },    """"""""nugetProxy"""""""" : { },    """"""""proxy"""""""" : {      """"""""remoteUrl"""""""" : """"""""http://www.nuget.org/api/v2/"""""""",      """"""""artifactMaxAge"""""""" : 5    },    """"""""httpclient"""""""" : {      """"""""connection"""""""" : {        """"""""retries"""""""" : 2,        """"""""timeout"""""""" : 20000      }    },    """"""""storage"""""""" : { }  }    2. Add some metadata to the proxy. Open a browser to:  http://localhost:8081/repository/nugetproxy/Packages()?$orderby=DownloadCount%20desc&$filter=IsLatestVersion&$skip=0&$top=15&$select=Id,Version,Authors,DownloadCount,VersionDownloadCount,PackageHash,PackageSize,Published&$inlinecount=allpages    Notice that the XML contains 15 entries (15 instances of """"""""<entry>""""""""), each with different IDs.  (Leave that browser window open.)    3. Do a component search for 'nuget'.  I get only 1 entry, I'm expecting 15.    I notice that the one search result is the last component in the XML feed.    Under some circumstances, when I had a breakpoint set on the indexing (to ensure that the nuget code was actually sending index requests to the search system), I got more search results.    It seems almost as if the index has a buffer that's being overwritten.    4. The component metadata does seem to be intact:    orient:connect plocal:../sonatype-work/nexus/db/component admin admin  orient:select * from component    (I get 15 results.)",Analyze indexing buffer behavior,Investigate the indexing buffer behavior to determine if it is indeed being overwritten and causing the missing search results.,
DM-12806,Implement GSL upgrade to 2.4,Implements RFC-418.,Upgrade GSL dependencies,This task involves updating dependencies to be compatible with GSL 2.4.,
DM-12806,Implement GSL upgrade to 2.4,Implements RFC-418.,Implement RFC-418 changes,This task requires implementing the specific changes outlined in the RFC.,
DM-12806,Implement GSL upgrade to 2.4,Implements RFC-418.,Test and validate the upgrade,This task involves verifying that the upgrade does not introduce any issues or regressions.,
DM-12806,Implement GSL upgrade to 2.4,Implements RFC-418.,Integrate with existing systems,This task requires ensuring that the upgraded GSL works seamlessly with other components.,
USERGRID-414,Set Build Version to Java 8,"We're significantly behind our in our RX java implementation.  Before work on the EM/RM refactor work starts, we should upgrade to Java 8 to clean up our functional syntax, as well as upgrade to the latest RxJava for performance improvements.   We should evaluate missing functions we use in RX as Java 8 streams.  If we can re-create our operations as Java 8 streams, we should evaluate the performance of RX Java vs Java 8 streams, and pick the most performant solution.",Upgrade project to Java 8,This task involves updating the project configuration and dependencies to support Java 8.,
USERGRID-414,Set Build Version to Java 8,"We're significantly behind our in our RX java implementation.  Before work on the EM/RM refactor work starts, we should upgrade to Java 8 to clean up our functional syntax, as well as upgrade to the latest RxJava for performance improvements.   We should evaluate missing functions we use in RX as Java 8 streams.  If we can re-create our operations as Java 8 streams, we should evaluate the performance of RX Java vs Java 8 streams, and pick the most performant solution.",Evaluate RxJava usage and replace with Java 8 streams where possible,This task requires analyzing the current RxJava implementation and identifying opportunities to replace it with Java 8 streams.,
USERGRID-414,Set Build Version to Java 8,"We're significantly behind our in our RX java implementation.  Before work on the EM/RM refactor work starts, we should upgrade to Java 8 to clean up our functional syntax, as well as upgrade to the latest RxJava for performance improvements.   We should evaluate missing functions we use in RX as Java 8 streams.  If we can re-create our operations as Java 8 streams, we should evaluate the performance of RX Java vs Java 8 streams, and pick the most performant solution.",Compare performance of RxJava and Java 8 streams,This task involves creating benchmarks to compare the performance of RxJava and Java 8 streams in the specific use cases.,
