issue_key,project,issue_type,title,description,actual_story_points,predicted_story_points,confidence,complex_flag,subtask_count,subtask_points_sum,subtask_titles,subtasks_json,reasoning,source
MESOS-4911,Apache Mesos,Bug,Executor driver does not respect executor shutdown grace period.,"Executor shutdown grace period, configured on the agent, is propagated to executors via the `MESOS_EXECUTOR_SHUTDOWN_GRACE_PERIOD` environment variable. The executor driver must use this timeout to delay the hard shutdown of the related executor.",1,5,0.8,False,0,0,,[],"The ticket requires modifying the executor driver to respect the shutdown grace period. This involves updating the driver to read the environment variable and implement a delay before hard shutdown. The scope is relatively contained, but there may be edge cases to consider. Integration with the agent and executor is crucial.",llm:llama-3.3-70b-versatile
DM-863,Lsstcorp Data management,Bug,near neighbor does not return results,"A query from qserv_testdata (case01/queries/1051_nn.sql) runs through Qserv, but it returns no results, while the same query run on myql does return results.  The exact query for qserv is:",1,5,0.7,False,0,0,,[],"The issue seems to be related to a specific query not returning results in Qserv, but working in MySQL. The scope is relatively contained, but there may be unknowns in the Qserv configuration or query optimization. Investigation and debugging will be required to identify the root cause.",llm:llama-3.3-70b-versatile
DM-24397,Lsstcorp Data management,Story,fix db2authors for SPIE,Thought I had this but it needs a bit more work ..,1,2,0.7,False,0,0,,[],"The ticket is a fix for an existing issue, which suggests a relatively small scope. However, the description is vague and lacks specific details, reducing confidence in the estimate. The fact that the author thought it was already done but needs more work implies some complexity.",llm:llama-3.3-70b-versatile
DM-26893,Lsstcorp Data management,Story,Submit Plan to Kevin Long (LSST),Baseline the plan and send to the Project Controls Specialist  This ticket had been created automatically Primavera ID: None,1,1,0.8,False,0,0,,[],This ticket involves a simple task of baselining a plan and sending it to the Project Controls Specialist. The scope is well-defined and there are no apparent unknowns or complex integration points. The task seems to be a straightforward administrative action.,llm:llama-3.3-70b-versatile
DM-9006,Lsstcorp Data management,Story,git-lfs related lsstsw installation error on macOS Sierra,I tried to do my first lsstsw-based installation on a new macOS Sierra computer and got this error during the afwdata build:          Details:    - This is a Python 3 lsstsw installation but I also replicated the same issue with a Python 2.7 lsstsw.  - The git-lfs version I see in lsstsw is {{git-lfs/1.2.0 (GitHub; darwin amd64; go 1.6.1; git 9bd3b8e)}}.  - My computer also has a git-lfs 1.5.4 from Homebrew and I've been able to successfully clone {{afwdata}} with this git-lfs (no configuration issues).  - I've also manually cloned {{afwdata}} using the lsstsw-provided git-lfs 1.2.0 (no problem with that git-lfs in my environment).    *This leads me to think that there's some issue with how git/git-lfs is being controlled by {{lsst_build}} on macOS Sierra.*,1,5,0.7,False,0,0,,[],"The issue seems to be related to the interaction between lsstsw, git, and git-lfs on macOS Sierra. The fact that the user can manually clone afwdata with the lsstsw-provided git-lfs suggests that the problem lies in how lsst_build controls these tools. The scope of the issue appears to be limited to the installation process, but the complexity of the tools involved reduces confidence in the estimate.",llm:llama-3.3-70b-versatile
MULE-13728,Mule,Task,Update spring schemas to 3.10,colored text{color}Update spring schemas to 3.10,1,2,0.8,False,0,0,,[],"The task involves updating spring schemas to a specific version, which is a relatively straightforward process. However, potential integration issues or version compatibility problems could arise. The scope is well-defined, but some unknowns exist regarding potential downstream effects.",llm:llama-3.3-70b-versatile
DM-1673,Lsstcorp Data management,Story,Allow SWIG override for broken SWIG installations,"Dependency on SWIG 2.0+ was introduced into Qserv, and this broke Qserv building on systems relying on SWIG 1.3.x.  This ticket introduces basic code to override SWIG_LIB on those systems to allow use of the broken installation (some SWIG search paths are fixed during its build process otherwise).",1,2,0.8,False,0,0,,[],"The ticket requires a targeted code change to override SWIG_LIB, which is a relatively small and well-defined task. However, the complexity of the build process and potential interactions with other dependencies may introduce some uncertainty. The scope is limited to a specific use case, which reduces the overall risk.",llm:llama-3.3-70b-versatile
NEXUS-4830,Sonatype Nexus,Bug,Failed Nexus3670IndexTreeViewIT.@BeforeMethod oncePerClassSetUp,"Failed    org.sonatype.nexus.integrationtests.nexus3670.Nexus3670IndexTreeViewIT.@BeforeMethod oncePerClassSetUp (from Nexus3670IndexTreeViewIT)     https://builds.sonatype.org/job/nexus-oss-its/183/jdk=java-6x,label=win/testReport/junit/org.sonatype.nexus.integrationtests.nexus3670/Nexus3670IndexTreeViewIT/_BeforeMethod_oncePerClassSetUp/",1,2,0.6,False,0,0,,[],"The ticket is a failed test, which typically has a limited scope. However, the root cause of the failure is unknown, and debugging may be required. The test is also part of a larger integration test suite, which could add complexity.",llm:llama-3.3-70b-versatile
DNN-9986,DotNetNuke Platform,Bug,portal.css available under ~/Portals/0,"(x) A file called """"""""portal.css"""""""" is available under ~/Portals/0      Expected: This file should not be available out of the box for a fresh site.  Expected: Site should not show 404  Expected:  * Go to PB > Settings > CSS Editor  * Click Restore Default button  * Now, the portal.css should be created under ~/Portals/0",1,2,0.8,False,0,0,,[],"The ticket involves a specific file and its expected behavior in a fresh site. The steps to reproduce are clear, but the root cause of the issue is unknown. The fix might involve a simple configuration change or a code update.",llm:llama-3.3-70b-versatile
NEXUS-8216,Sonatype Nexus,Bug,Search indexing appears to miss some components,"Steps to replicate:    1. Create a nuget proxy repo (name: 'nugetproxy'), using this configuration:    {    """"""""view"""""""" : {      """"""""online"""""""" : true    },    """"""""nugetProxy"""""""" : { },    """"""""proxy"""""""" : {      """"""""remoteUrl"""""""" : """"""""http://www.nuget.org/api/v2/"""""""",      """"""""artifactMaxAge"""""""" : 5    },    """"""""httpclient"""""""" : {      """"""""connection"""""""" : {        """"""""retries"""""""" : 2,        """"""""timeout"""""""" : 20000      }    },    """"""""storage"""""""" : { }  }    2. Add some metadata to the proxy. Open a browser to:  http://localhost:8081/repository/nugetproxy/Packages()?$orderby=DownloadCount%20desc&$filter=IsLatestVersion&$skip=0&$top=15&$select=Id,Version,Authors,DownloadCount,VersionDownloadCount,PackageHash,PackageSize,Published&$inlinecount=allpages    Notice that the XML contains 15 entries (15 instances of """"""""<entry>""""""""), each with different IDs.  (Leave that browser window open.)    3. Do a component search for 'nuget'.  I get only 1 entry, I'm expecting 15.    I notice that the one search result is the last component in the XML feed.    Under some circumstances, when I had a breakpoint set on the indexing (to ensure that the nuget code was actually sending index requests to the search system), I got more search results.    It seems almost as if the index has a buffer that's being overwritten.    4. The component metadata does seem to be intact:    orient:connect plocal:../sonatype-work/nexus/db/component admin admin  orient:select * from component    (I get 15 results.)",1,8,0.7,True,3,8,Investigate indexing process | Verify search system configuration | Analyze indexing buffer behavior,"[{""title"": ""Investigate indexing process"", ""story_points"": 3, ""reasoning"": ""Review the indexing code and configuration to understand how it interacts with the search system and identify potential bottlenecks or issues.""}, {""title"": ""Verify search system configuration"", ""story_points"": 2, ""reasoning"": ""Check the search system configuration to ensure it is properly set up to handle the nuget proxy repository and its metadata.""}, {""title"": ""Analyze indexing buffer behavior"", ""story_points"": 3, ""reasoning"": ""Investigate the indexing buffer behavior to determine if it is indeed being overwritten and causing the missing search results.""}]","The issue appears to be related to search indexing, which is a complex subsystem. The steps to replicate are well-defined, but the root cause is unclear, suggesting potential unknowns. The fact that the component metadata is intact but not fully indexed suggests a possible issue with the indexing process or its interaction with the search system.",llm:llama-3.3-70b-versatile
