issue_key,project,issue_type,title,description,actual_story_points,predicted_story_points,confidence,complex_flag,subtask_count,subtask_points_sum,subtask_titles,subtasks_json,reasoning,source
DM-13997,Lsstcorp Data management,Story,Enable numpydoc support for ip_isr,This ticket is to enable the numpydoc conversion of ip_isr.,1,3,0.3,False,0,0,,[],"['The estimated story points of 3 are based on a weighted average of 5 similar tickets.', 'The most similar tickets were DM-20574 (8 SP) and DM-17458 (2 SP), which informed the estimate.', 'DM-20574 is more complex and spans multiple subsystems, but the numpydoc conversion in DM-17458 is relatively straightforward.']",rag+llm:llama-3.1-8b-instant
NEXUS-10477,Sonatype Nexus,Bug,SSL key/trust store is not thread-safe,"# Hook NX up for debugging and set a breakpoint at https://github.com/sonatype/nexus-internal/blob/738eb86c8013f524802cef87e2961975b1f5793a/components/nexus-ssl/src/main/java/org/sonatype/nexus/ssl/internal/geronimo/FileKeystoreInstance.java#L283  # Using two browser tabs, import a SSL certificate into the trust store  # Observe that the breakpoint is reached by both HTTP request threads concurrently    {{FileKeystoreInstance}} uses several basic collections ({{ArrayList}}, {{HashMap}}) that are not thread-safe by themselves and concurrent operations on the key store can cause corruption/failure. We should synchronize all access to {{FileKeystoreInstance}}, potentially even at a higher level like the methods in {{KeyStoreManagerImpl}}.",1,3,0.46,False,0,0,,[],"['The estimate is based on 5 similar past tickets, with a weighted average of 2.4 story points.', 'The most similar tickets are NEXUS-12488 (3 SP, similarity 0.66) and NEXUS-10503 (2 SP, similarity 0.63), which both involve thread-safety issues in Nexus.', 'The current ticket is less complex than NEXUS-13919 (5 SP, similarity 0.58), but more complex than NEXUS-8856 (1 SP, similarity 0.63) and NEXUS-7652 (1 SP, similarity 0.57).']",rag+llm:llama-3.1-8b-instant
DM-7818,Lsstcorp Data management,Story,2D plotting package design discussion,"Participate in the 2-day discussion of 2D plotting package design,  functions supported, and strategy for introducing new 3rd party software packages,",1,2,0.75,False,0,0,,[],"['The estimate is based on 5 similar past tickets with a weighted average of 1.8 story points.', 'Tickets DM-7820, DM-7819, DM-7817 have a story point of 1, indicating a low scope, similar to the current ticket.', ""Tickets DM-7816 and DM-7815 have a story point of 3, indicating a higher scope, but the current ticket has a similar description, so we'll use the lower end of the estimate range.""]",rag+llm:llama-3.1-8b-instant
DM-7145,Lsstcorp Data management,Story,lsstsw/bin/deploy can not recover from conda package failure,"At present, if {{lsstsw/bin/deploy}} has successfully installed miniconda but has a failure while installing conda package, the install can not be repaired by rerunning {{deploy}}.  This is due to the miniconda installer refusing to run if the install directory already exists.  This deadlock scenario could be avoided if the miniconda and conda package installs were protected by different lock files.",1,2,0.75,False,0,0,,[],"['The estimate is based on 5 similar past tickets with a weighted average of 1.2 story points.', 'The most similar tickets are DM-11832 and DM-11903, both of which have a similar scope and complexity.', ""However, the current ticket's description is slightly more detailed, which increases the confidence in the estimate.""]",rag+llm:llama-3.1-8b-instant
DM-9708,Lsstcorp Data management,Story,Remove leak workaround in log pybind11 wrapper,In the {{python/lsst/log/log/log.cc}} in the {{log}} package contains a special workaround for leaks.  This was a Swig remnant that had to be imported here as well for reasons stated in the file. Fix this properly.,1,2,0.62,False,0,0,,[],"['The estimated story points are based on a weighted average of 5 similar tickets.', 'The most similar tickets are DM-7518 (2 SP) and DM-4194 (1 SP), which both involve modifications to the log package.', 'The current ticket is less complex than DM-7518, but more complex than DM-4194, so the estimated story points are 2.']",rag+llm:llama-3.1-8b-instant
DM-12556,Lsstcorp Data management,Story,reportPerformance.py can't handle new metrics,Now that TE1 is calculated on the master branch of {{validate_drp}} but not included in the release metrics.  This causes a {{KeyError}} when I run {{reportPerformance.py}} on JSON files produced with a master version.,1,3,0.5,False,0,0,,[],"['The estimated story points are based on a weighted average of 5 similar past tickets.', 'The most similar ticket, DM-22495, had 1 story point and a high similarity score of 0.72.', 'This ticket is likely to be less complex than DM-19153, which had 5 story points, but more complex than DM-9606 and DM-13894, which both had 1 story point.']",rag+llm:llama-3.1-8b-instant
DM-27216,Lsstcorp Data management,Story,Allow for IP/hostname configuration of HS,The header service needs a way to configure an IP or hostname that will be used in the URL for the LFOA message. This is necessary for running on k8s where the local pod IP is not routable to outside k8s.,1,5,0.39,False,0,0,,[],"['The estimated story points of 5 are based on the weighted average of 5 similar tickets.', 'The most similar tickets are DM-14336 (5 SP) and DM-20443 (5 SP), which both deal with k8s configuration and external communication.', 'The current ticket is less complex than DM-14336, which unified the k8s proxy manifest for worker and master pods, but more complex than XD-3621, which added support for custom headers with the Kafka bus.']",rag+llm:llama-3.1-8b-instant
FE-5783,Atlassian FishEye,Bug,NPS warnings on instance startup,"When starting a clean 3.9.1 instance I see several warnings like:      Once I setup instance and log in with admin password, I see different warnings:      Few of them are logged for every web request, e.g. dashboard page.    Once I am logged in as named user warnings no longer appear.",1,2,0.51,False,0,0,,[],"['The estimated story points of 2 are based on a weighted average of 5 similar past tickets.', 'Tickets DNN-6401 and NEXUS-15561, both with 2 story points, share similarities with the current ticket in terms of error messages and log warnings.', 'However, the description of the current ticket is somewhat vague, as it does not provide a clear explanation of the root cause of the NPS warnings.']",rag+llm:llama-3.1-8b-instant
DM-16398,Lsstcorp Data management,Bug,d_2018_11_01 pipelines.lsst.io build failure,In documenteer [build #242|https://ci.lsst.codes/job/sqre/job/infra/job/documenteer/242/display/redirect] for {{d_2018_11_01}} I'm seeing this build failure:,1,2,0.73,False,0,0,,[],"['The estimated story points of 2 are based on a weighted average of 5 similar past tickets.', 'Tickets DM-21078 and DM-18372 are the most similar, with similarities of 0.71 and 0.66 respectively, and both had a story point of 1.', ""Ticket DM-17661 is also similar, with a similarity of 0.70 and a story point of 2, which is consistent with the current ticket's estimated story points of 2.""]",rag+llm:llama-3.1-8b-instant
MESOS-9510,Apache Mesos,Improvement,"Disallowed nan, inf and so on in `Value::Scalar`.","Mesos does not expect `Value::Scalar` to be nan, inf and etc. We should validate this when parsing.",1,3,0.65,False,0,0,,[],"['The estimate is based on a weighted average of 5 similar past tickets, with a RAG-computed story point of 3.', 'The most similar tickets are MESOS-9241 and MESOS-2995, both with 3 story points and a high similarity score.', 'However, the current ticket is slightly more complex than MESOS-9241, as it involves validating specific values in `Value::Scalar`, whereas MESOS-9241 focused on delimiters in endpoint names.']",rag+llm:llama-3.1-8b-instant
