=== RQ3: complexity detection (ground truth: actual_sp >= 8) ===

Total tickets evaluated: 80
Confusion counts: {'true_positive': 22, 'false_positive': 22, 'false_negative': 8, 'true_negative': 28}
Precision: 0.50
Recall:    0.73
F1:        0.59

=== Subtask point reconciliation (44 decomposed tickets) ===
Mean gap (subtask sum - top-level estimate): 1.70
   issue_key  predicted_story_points  subtask_points_sum  gap                                                                                                                                                                                                                                                                       subtask_titles
     DM-1474                       8                   8    0                                                                                                                          Fix bitrot in obs_subaru | Update CameraGeom integration for obs_subaru | Run test on HSC-like data | Validate results against past runs (DM-6815, DM-5399)
 TIMOB-24549                       8                  12    4                                                                                     Design TiPromise interface and core implementation | Integrate with Titanium SDK APIs | Implement promise wrapping for Hyperloop and native modules | Test cross-system promise interoperability
   MULE-6417                       2                   6    4                                                            Identify root cause of divide-by-zero in ComponentStatistics | Assess impact on JMX statistics collection under load | Propose fix for preventing arithmetic exceptions | Validate fix with stress testing and regression
    EVG-6568                       5                   5    0                                                                                                                                                     Identify required vs optional patch data | Implement partial JSON loading for views | Optimize API calls to reduce response size
     DM-8365                       5                   5    0                                          Audit usage of pex_logging in all project-supported codes | Update documentation for deprecation and migration path | Formalize deprecation of pex_logging in project guidelines | Verify log output redirection (stdout instead of stderr)
    DM-12782                       2                   5    3                                                                          Analyze dmesg and system logs for XFS/dockerd errors | Check docker daemon and container health on el7-4 | Inspect node resource utilization (CPU, memory, disk) | Test travissync pull on a different node
     DM-3488                      13                  17    4                             Analyze czar's memory usage logs | Replicate the problematic query on a test environment | Profile memory consumption during query execution | Evaluate alternative memory management options (jemalloc, etc.) | Collate findings into root cause report
  MULE-10945                       5                   5    0                                                                                                                          Research current parameter rendering mechanism | Design custom layout for Transactional Action parameters | Implement UI integration in relevant components
    DM-13817                      13                  17    4                                                                                             Define Data Acquisition Strategy | Process Atmospheric Transmission Measurements | Integrate Multiple Data Streams | Coordinate with PCWG and Stakeholders | Prepare and Present Results
USERGRID-536                       5                  10    5      Refactor IndexScope to represent edges | Design new static mappings for entity and edge data | Redesign query logic for simplified search operations | Implement new field naming conventions for indexing and querying | Update data ingestion to support new field structures
     XD-2905                      13                  17    4                                                                                                           Finalize DEBS challenge implementation | Integrate remaining data pipelines | Testing and validation for challenge requirements | Documentation and submission preparation
      XD-124                       8                   8    0                                                                                                Identify Redis instance within XD container | Implement ordered component shutdown sequence | Send graceful shutdown command to Redis | Verify completion of shutdown and log outcome
   MXNET-475                      21                  25    4                                                                                                                                               Define Epic Objectives | Design Solution Architecture | Develop Core Features | Integrate with Existing Systems | Testing & Validation
  NEXUS-4726                       8                   8    0                                                                                                                                                                 Design UI resilience pattern | Update feed loading logic for error handling | Integrate with plugin lifecycle events
    DM-14116                       8                   8    0                                                                                                                                 Demonstrate sourcing latest build | Prepare HSC dataset for rerun | Run multiBandDriver with specified parameters | Explain key command-line options
      DM-953                       5                   6    1                                                                                              Identify all references to qserv-testdata.py | Create new package structure for qserv_testdata | Refactor file contents to use new package path | Update build systems and dependencies
   ALOY-1690                       5                   5    0                                                                                                             Verify if source map generation for lib files is disabled | Test source map generation for actionbar.js in lib | Implement or fix configuration to enable lib sourcemaps
     DM-1124                       5                   5    0                                                                                                                                              Implement Chebyshev interpolation interface | Develop Chebyshev approximation logic | Integrate with CCD-level aperture correction data
 TIMOB-26648                      13                  17    4                                                                                                   Implement override for setTimeout on Windows | Override require function for Windows builds | Integrate with testing frameworks' expectations | Validate behavior across platforms
    DM-13583                      13                  13    0                                                                                                                                                                                               Determine DMTN PDF Generation Workflow | Design DocuShare Numbering Strategy for DMTNs
    DM-22741                       5                   5    0                                                                                                                                                                                                                                                Remove legacy ap_association subtasks
   MDL-40039                       8                   8    0                                                                                                                                                     Identify suitable alternative parameter | Update core_files_external::upload signature | Update documentation and API references
     XD-2703                       8                   8    0                                                                                                          Implement JDBC to HDFS data import using Sqoop | Implement HDFS to JDBC export using Sqoop | Create a unified batch job configuration UI | Add documentation and demo steps
     DM-2253                       5                   6    1                                                               Build numpy from source | Build scipy and emcee from source | Install statsmodel with required dependencies | Verify esutil and fitsio compatibility | Integrate all third-party packages into ngmix build environment
 TIMOB-24830                       8                   8    0                                                                                                          Identify module loading locations | Implement module cache storage | Modify require() to check and use cache | Test performance impact on app startup and repeated requires
USERGRID-772                       8                  11    3 Baseline setup (2 Tomcats, 6 ES, 6 Cassandra) | Incremental Tomcat load testing (+2 each iteration up to 20) | ES cluster scaling (+3 nodes at key points) | Cassandra scaling (+3, then +6 nodes and integration with ES/C*) | Analyze TPS slope under max Tomcat load (20 Tomcats)
   MULE-9769                       8                   8    0                                                                                                              Identify dynamic parameter and return types in ExtensionModel | Add metadata flags to ExtensionModel for dynamic support | Update documentation and Studio/Mozzart APIs
 NEXUS-16545                       3                   8    5                                                           Root cause analysis of slow metadata generation | Compare configuration settings between Nexus 2 and 3 | Test with reduced repository size to isolate issue | Review logs and event queue usage during metadata generation
    DM-20249                       5                   5    0                                             Identify current filter logic for 'wavelength' column | Update filter to treat 'null' and empty strings appropriately | Test filter functionality with empty string in 'wavelength' | Document recommended filter value for empty fields
    INDY-979                       8                   8    0                                                                                                                                                              Design State Machine for 3PC Actor | Extract 3PC Processing Logic from replica.py | Integrate with View Change Handling
