issue_key,ticket_title,ticket_description,subtask_title,subtask_reasoning,label
DM-11974,Add calibUsed-only qa plots to CoaddAnalysis,Add plots similar to the visit-level *calibUsed*-only versions added in DM-11322 but at the coadd level. This cannot be done until the flags are propagated to the coadd catalogs when DM-11866 lands.,Propagate calibUsed flag to coadd catalogs,"This subtask is based on DM-11866, which propagated astrometry and photometry visit calibration flags to coadds.",
DM-11974,Add calibUsed-only qa plots to CoaddAnalysis,Add plots similar to the visit-level *calibUsed*-only versions added in DM-11322 but at the coadd level. This cannot be done until the flags are propagated to the coadd catalogs when DM-11866 lands.,Add calibUsed-only qa plots to CoaddAnalysis,"This subtask is similar to DM-21092, which added coadd versions of visit-level qa plots.",
DM-14116,Learn how to rerun command-line drivers on lsst-dev,"Yusra showed me how to source the latest weekly build of the pipeline and running command-line tasks on HSC data on lsst-dev, e.g.:    source scl_source enable devtoolset-6; source /software/lsstsw/stack3/loadLSST.bash    setup lsst_distrib -t w_2018_14 # For that week    mkdir /project/<USER>cmodelconfigs/    multiBandDriver.py /datasets/hsc/repo --calib /datasets/hsc/repo/CALIB/ --rerun RC/w_2018_14/DM-13890:private/<USER>cmodelconfigs/w_2018_14 --id tract=9813 patch=3,4 filter=HSC-G^HSC-R^HSC-I^HSC-Z^HSC-Y^NB0921",Learn how to source the latest weekly build of the pipeline,"This subtask involves learning how to source the latest weekly build of the pipeline, which is a prerequisite for running command-line tasks on HSC data.",
DM-14116,Learn how to rerun command-line drivers on lsst-dev,"Yusra showed me how to source the latest weekly build of the pipeline and running command-line tasks on HSC data on lsst-dev, e.g.:    source scl_source enable devtoolset-6; source /software/lsstsw/stack3/loadLSST.bash    setup lsst_distrib -t w_2018_14 # For that week    mkdir /project/<USER>cmodelconfigs/    multiBandDriver.py /datasets/hsc/repo --calib /datasets/hsc/repo/CALIB/ --rerun RC/w_2018_14/DM-13890:private/<USER>cmodelconfigs/w_2018_14 --id tract=9813 patch=3,4 filter=HSC-G^HSC-R^HSC-I^HSC-Z^HSC-Y^NB0921",Learn how to run command-line tasks on HSC data on lsst-dev,"This subtask involves learning how to run command-line tasks on HSC data on lsst-dev, which is a key part of the task.",
DM-14116,Learn how to rerun command-line drivers on lsst-dev,"Yusra showed me how to source the latest weekly build of the pipeline and running command-line tasks on HSC data on lsst-dev, e.g.:    source scl_source enable devtoolset-6; source /software/lsstsw/stack3/loadLSST.bash    setup lsst_distrib -t w_2018_14 # For that week    mkdir /project/<USER>cmodelconfigs/    multiBandDriver.py /datasets/hsc/repo --calib /datasets/hsc/repo/CALIB/ --rerun RC/w_2018_14/DM-13890:private/<USER>cmodelconfigs/w_2018_14 --id tract=9813 patch=3,4 filter=HSC-G^HSC-R^HSC-I^HSC-Z^HSC-Y^NB0921",Practice running command-line drivers on lsst-dev,"This subtask involves practicing running command-line drivers on lsst-dev, which will help solidify the learning from the previous subtasks.",
DM-14270,Kubernetes requirements for L1 test system,Understand L1 requirements for the Alert distribution system inside kubernetes cluster,Understand L1 requirements for the Alert distribution system,"This subtask involves understanding the requirements for the Alert distribution system, which is a key component of the Kubernetes cluster.",
DM-14270,Kubernetes requirements for L1 test system,Understand L1 requirements for the Alert distribution system inside kubernetes cluster,Document Kubernetes requirements for L1 test system,"This subtask involves documenting the Kubernetes requirements for the L1 test system, which is a critical step in ensuring that the system meets the necessary standards.",
DM-14270,Kubernetes requirements for L1 test system,Understand L1 requirements for the Alert distribution system inside kubernetes cluster,Integrate Alert distribution system with Kubernetes cluster,"This subtask involves integrating the Alert distribution system with the Kubernetes cluster, which requires a deep understanding of both systems.",
TIMOB-23414,iOS: titanium_mobile master is broken,"When I download from http://builds.<USER>com/#master and try to install this OSX build from http://builds.<USER>com/mobile/master/mobilesdk-5.4.0.v20160517164706-osx.zip    or when I <USER>down <USER>titanium_mobile and run scons ( my environment is set up correctly)    in both cases I get:    ti build --platform=iphone  SyntaxError: missing ) after argument list      at exports.runInThisContext (vm.js:53:16)      at Module._compile (module.js:373:25)      at Object.Module._extensions..js (module.js:416:10)      at Module.load (module.js:343:32)      at Function.Module._load (module.js:300:12)      at Module.require (module.js:353:17)      at require (internal/module.js:12:17)      at /Users/andrewmcelroy/Library/Application Support/Titanium/mobilesdk/osx/5.4.0.v20160517164706/node_modules/titanium-sdk/lib/titanium.js:86:14      at /Users/andrewmcelroy/Library/Application Support/Titanium/mobilesdk/osx/5.4.0.v20160517164706/node_modules/async/lib/async.js:718:13      at async.forEachOf.async.eachOf (/Users/andrewmcelroy/Library/Application Support/Titanium/mobilesdk/osx/5.4.0.v20160517164706/node_modules/async/lib/async.js:233:13)  ---------------------------------------------      at Object.run (/usr/local/lib/node_modules/titanium/node_modules/node-appc/lib/subprocess.js:59:8)      at find (/usr/local/lib/node_modules/titanium/node_modules/node-appc/lib/subprocess.js:96:14)      at /usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:945:13      at Immediate.q.<USER>(/usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:913:25)      at processImmediate [as _immediateCallback] (timers.js:383:17)  ---------------------------------------------      at Object.setImmediate (/usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:200:9)      at _insert (/usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:861:19)      at Object.q.push (/usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:888:17)      at Object.findExecutable (/usr/local/lib/node_modules/titanium/node_modules/node-appc/lib/subprocess.js:113:8)      at resolveNode (/usr/local/lib/node_modules/titanium/lib/titanium.js:97:34)      at /usr/local/lib/node_modules/titanium/lib/titanium.js:74:5      at Object.<anonymous> (/usr/local/lib/node_modules/titanium/lib/titanium.js:80:2)      at Module._compile (module.js:409:26)      at Object.Module._extensions..js (module.js:416:10)      FYI, Master is currently broken.",Fix issue with ti build command,"This subtask involves identifying and fixing the issue with the ti build command, which is the root cause of the problem.",
TIMOB-23414,iOS: titanium_mobile master is broken,"When I download from http://builds.<USER>com/#master and try to install this OSX build from http://builds.<USER>com/mobile/master/mobilesdk-5.4.0.v20160517164706-osx.zip    or when I <USER>down <USER>titanium_mobile and run scons ( my environment is set up correctly)    in both cases I get:    ti build --platform=iphone  SyntaxError: missing ) after argument list      at exports.runInThisContext (vm.js:53:16)      at Module._compile (module.js:373:25)      at Object.Module._extensions..js (module.js:416:10)      at Module.load (module.js:343:32)      at Function.Module._load (module.js:300:12)      at Module.require (module.js:353:17)      at require (internal/module.js:12:17)      at /Users/andrewmcelroy/Library/Application Support/Titanium/mobilesdk/osx/5.4.0.v20160517164706/node_modules/titanium-sdk/lib/titanium.js:86:14      at /Users/andrewmcelroy/Library/Application Support/Titanium/mobilesdk/osx/5.4.0.v20160517164706/node_modules/async/lib/async.js:718:13      at async.forEachOf.async.eachOf (/Users/andrewmcelroy/Library/Application Support/Titanium/mobilesdk/osx/5.4.0.v20160517164706/node_modules/async/lib/async.js:233:13)  ---------------------------------------------      at Object.run (/usr/local/lib/node_modules/titanium/node_modules/node-appc/lib/subprocess.js:59:8)      at find (/usr/local/lib/node_modules/titanium/node_modules/node-appc/lib/subprocess.js:96:14)      at /usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:945:13      at Immediate.q.<USER>(/usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:913:25)      at processImmediate [as _immediateCallback] (timers.js:383:17)  ---------------------------------------------      at Object.setImmediate (/usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:200:9)      at _insert (/usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:861:19)      at Object.q.push (/usr/local/lib/node_modules/titanium/node_modules/async/lib/async.js:888:17)      at Object.findExecutable (/usr/local/lib/node_modules/titanium/node_modules/node-appc/lib/subprocess.js:113:8)      at resolveNode (/usr/local/lib/node_modules/titanium/lib/titanium.js:97:34)      at /usr/local/lib/node_modules/titanium/lib/titanium.js:74:5      at Object.<anonymous> (/usr/local/lib/node_modules/titanium/lib/titanium.js:80:2)      at Module._compile (module.js:409:26)      at Object.Module._extensions..js (module.js:416:10)      FYI, Master is currently broken.",Update titanium.js to handle missing ) after argument list,This subtask involves updating the titanium.js file to handle the missing ) after argument list error.,
