issue_key,ticket_title,ticket_description_snippet,predicted_story_points,reasoning,neighbour_keys,similar_tickets_json,grounded,faithful_to_rag,comparative,no_hallucination,useful
XD-3084,Wrong self link returned,"When a stream with Spring XD 1.1.1.RELEASE is created the REST methods always replies """"""""/stream/_stream-name_"""""""" as the self link. Unfortunately when this one is called a 404 is returned. So the questions is if this is really intended to work like that. I would expect to get '/stream/definitions/_stream-name_' back instead.  {code:shell} $ curl -F """"""""name=ticktap"""""""" -F """"""""definition=tap:stream:tick > log"""""""" -F """"""""deploy=true"""""""" http://localhost:9393/streams/definitions/ {""""""""name"""""""":""""...",3,"The ticket describes a REST API behavior issue specific to Spring XD 1.1.1.RELEASE, similar to past tickets like XD-3083 (3 SP) where stream/job definition API misuse led to broken behavior and error responses. The current issue is focused on incorrect self-link URLs returned by the API during deployments, which mirrors the scope of those previous bugs regarding API contract inconsistencies. Since this problem centers on REST endpoint response correctness rather than a complex system change or multiple subsystems, it can be estimated at 3 story points.","XD-1287 (0.68), XD-603 (0.65), XD-400 (0.64), XD-699 (0.63), XD-3083 (0.63), XD-3634 (0.62), XD-446 (0.60), XD-1360 (0.60), XD-2243 (0.59), XD-2173 (0.59)","[{""issue_key"": ""XD-1287"", ""story_points"": 5, ""similarity"": 0.677, ""title"": ""Tap definitions should verify stream name""}, {""issue_key"": ""XD-603"", ""story_points"": 2, ""similarity"": 0.6503, ""title"": ""NPE on stream destroy""}, {""issue_key"": ""XD-400"", ""story_points"": 1, ""similarity"": 0.636, ""title"": ""Update Streams Chapter to use shell commands instead of curl""}, {""issue_key"": ""XD-699"", ""story_points"": 2, ""similarity"": 0.6319, ""title"": ""Handling tap operations on a tap that has reference to a deleted stream""}, {""issue_key"": ""XD-3083"", ""story_points"": 3, ""similarity"": 0.6285, ""title"": ""Creating multiple Stream/Job definitions from command file is broken""}, {""issue_key"": ""XD-3634"", ""story_points"": 3, ""similarity"": 0.6228, ""title"": ""Allow support for authentication to maven repos (AetherModuleResolver)""}, {""issue_key"": ""XD-446"", ""story_points"": 1, ""similarity"": 0.605, ""title"": ""Investigate stream lifecycle issues with redis store""}, {""issue_key"": ""XD-1360"", ""story_points"": 3, ""similarity"": 0.6013, ""title"": ""Json information returned by curl does not reflect deployed status correctly""}, {""issue_key"": ""XD-2243"", ""story_points"": 1, ""similarity"": 0.5933, ""title"": ""Stream Definition Calls Times-out often""}, {""issue_key"": ""XD-2173"", ""story_points"": 3, ""similarity"": 0.5867, ""title"": ""Shell does not report failed deploy attempt""}]",,,,,
DM-23402,Configure database backups,h1. Configure database backups,2,"This ticket closely matches past tickets such as DM-23407 and DM-23405, which were all focused on configuring Oracle database backups (each assigned 0 story points). Since the current request is similarly narrow—just configuring database backups without additional features or major scope changes—it aligns with those low-complexity tasks. The absence of extra requirements or system spans justifies a similar low point estimate.","DM-23407 (1.00), DM-23406 (1.00), DM-23405 (1.00), DM-23404 (1.00), DM-23403 (1.00), XD-3295 (0.47), JRACLOUD-42391 (0.46), INDY-2264 (0.45), FE-6466 (0.45), DM-8540 (0.45)","[{""issue_key"": ""DM-23407"", ""story_points"": 0, ""similarity"": 1.0, ""title"": ""Security vetting of Oracle systems at BDC""}, {""issue_key"": ""DM-23406"", ""story_points"": 0, ""similarity"": 1.0, ""title"": ""Setup database monitoring and auditing""}, {""issue_key"": ""DM-23405"", ""story_points"": 0, ""similarity"": 1.0, ""title"": ""Test failover / swithover""}, {""issue_key"": ""DM-23404"", ""story_points"": 0, ""similarity"": 1.0, ""title"": ""Develop failover and switchover scripts""}, {""issue_key"": ""DM-23403"", ""story_points"": 0, ""similarity"": 1.0, ""title"": ""Configure Oracle Data Guard for replication / failover""}, {""issue_key"": ""XD-3295"", ""story_points"": 8, ""similarity"": 0.4654, ""title"": ""Spike: Determine options for configuring shared module dependencies""}, {""issue_key"": ""JRACLOUD-42391"", ""story_points"": 2, ""similarity"": 0.4564, ""title"": ""Updating backup documentation""}, {""issue_key"": ""INDY-2264"", ""story_points"": 13, ""similarity"": 0.4533, ""title"": ""Cleanup Removing all backup Replicas""}, {""issue_key"": ""FE-6466"", ""story_points"": 2, ""similarity"": 0.4517, ""title"": ""Backup of Oracle DB fails due to unknown type TIMESTAMP (93)""}, {""issue_key"": ""DM-8540"", ""story_points"": 5, ""similarity"": 0.4516, ""title"": ""Create File List for full bakup""}]",,,,,
EVG-8192,Variables should be optional in strict project yaml validation,"People seem to conventionally use it for defining extra yaml stuff like anchors, but it's not required as part of the project config.",3,"The ticket asks to make 'Variables' optional in strict YAML validation for MongoDB project configs. Past tickets like EVG-3487 (2 SP) and DM-4039 (1 SP), which also involved modifying or clarifying how configuration files are validated, suggest similar scope adjustments. Since this change only affects the strictness of validation rules rather than implementing a new storage or major subsystem change, it is comparable in complexity to those past tickets and likely requires less effort.","EVG-3487 (0.54), EVG-12882 (0.52), EVG-12878 (0.50), DM-15082 (0.50), EVG-7627 (0.49), DM-12642 (0.49), FAB-16853 (0.48), DM-18433 (0.48), FAB-16830 (0.46), DM-4039 (0.46)","[{""issue_key"": ""EVG-3487"", ""story_points"": 2, ""similarity"": 0.5421, ""title"": ""It's not possible to patch a project that doesn't have a config yaml committed to its repo""}, {""issue_key"": ""EVG-12882"", ""story_points"": 1, ""similarity"": 0.5195, ""title"": ""Add --parameters option to the evergreen list command""}, {""issue_key"": ""EVG-12878"", ""story_points"": 2, ""similarity"": 0.5031, ""title"": ""Allow users to maintain project-specific default parameters in their local client configuration.""}, {""issue_key"": ""DM-15082"", ""story_points"": 2, ""similarity"": 0.4982, ""title"": ""Switch to YamlStorage instead of BoostStorage in all obs packages""}, {""issue_key"": ""EVG-7627"", ""story_points"": 5, ""similarity"": 0.4893, ""title"": ""Allow users to add a different yaml for releases""}, {""issue_key"": ""DM-12642"", ""story_points"": 2, ""similarity"": 0.4876, ""title"": ""Implement Butler Registry initialization from YAML file""}, {""issue_key"": ""FAB-16853"", ""story_points"": 2, ""similarity"": 0.4791, ""title"": ""Add support to the configuration package to honor \""\""defaultValue\""\"" tags""}, {""issue_key"": ""DM-18433"", ""story_points"": 3, ""similarity"": 0.4765, ""title"": ""C++ code that uses yaml files needs to point at the new location for those files.""}, {""issue_key"": ""FAB-16830"", ""story_points"": 5, ""similarity"": 0.4627, ""title"": ""Create configuration package that is capable of decoding yaml into a structure and applying defaults from the \""\""default\""\"" tag""}, {""issue_key"": ""DM-4039"", ""story_points"": 1, ""similarity"": 0.4627, ""title"": ""New YAML config for community_mailbot""}]",,,,,
DM-1474,Port obs_subaru to new CameraGeom,"Testing and improving the deblender is something that really needs to be done on real data of approximately LSST quality, and that makes HSC data a good choice.  But first we need to fix the bitrotted obs_subaru package so we can use the LSST stack (not its HSC fork) to process that data.",8,"The ticket requires adapting an outdated 'obs_subaru' package for integration into the updated LSST CameraGeom, which is similar in scope to DM-6815 (13 SP) and DM-5399 (21 SP), both of which involved porting or validating HSC-derived data packages on LSST. Since obs_subaru is a core component affected by past deblender and pipeline integration work, the estimated 8 points reflect comparable complexity but with slightly less scope than the largest past tickets due to improved tooling and reduced unknowns from prior merges.","DM-6815 (0.72), DM-10267 (0.65), DM-3518 (0.62), DM-5162 (0.61), DM-5085 (0.61), DM-3663 (0.60), DM-6785 (0.58), DM-5399 (0.58), DM-1738 (0.58), DM-6816 (0.57)","[{""issue_key"": ""DM-6815"", ""story_points"": 13, ""similarity"": 0.716, ""title"": ""Update LSST full-stack processing configuration to match best practice from HSC""}, {""issue_key"": ""DM-10267"", ""story_points"": 2, ""similarity"": 0.6495, ""title"": ""Port HSC support for PostgreSQL registries to LSST""}, {""issue_key"": ""DM-3518"", ""story_points"": 5, ""similarity"": 0.6164, ""title"": ""prune stale obs_subaru dependencies""}, {""issue_key"": ""DM-5162"", ""story_points"": 5, ""similarity"": 0.6125, ""title"": ""Audit the LSST and HSC codebases for differences""}, {""issue_key"": ""DM-5085"", ""story_points"": 1, ""similarity"": 0.6056, ""title"": ""Please add a package that includes obs_decam, obs_cfht and all validation_data datasets""}, {""issue_key"": ""DM-3663"", ""story_points"": 5, ""similarity"": 0.6027, ""title"": ""Basis for HSC integration test""}, {""issue_key"": ""DM-6785"", ""story_points"": 5, ""similarity"": 0.5791, ""title"": ""Port parent/child measurement from HSC""}, {""issue_key"": ""DM-5399"", ""story_points"": 21, ""similarity"": 0.5789, ""title"": ""HSC port: data release verification""}, {""issue_key"": ""DM-1738"", ""story_points"": 1, ""similarity"": 0.5768, ""title"": ""deblender artifacts in noise-replaced images""}, {""issue_key"": ""DM-6816"", ""story_points"": 5, ""similarity"": 0.5737, ""title"": ""Process HSC \""\""RC\""\"" dataset through the LSST stack""}]",,,,,
TIMOB-24549,TiAPI: Add support for Promises,"""""""""The modern development world is highly asynchronous"""""""".    I agree, so we should add support for promises that can be used from the JS world to improve the general callback structure. On the native side, we should a new class """"""""TiPromise"""""""" that can be used in the SDK, native modules and Hyperloop to allow promises.    I am not completely sure about the architecture so far, but we should definitely talk about it!",8,"The ticket aligns closely with TIMOB-25701 (0.60 similarity), which was a low-complexity task focused on enabling JavaScript promise support in Titanium and Alloy APIs, requiring about 0 SP due to its scope being mostly implementation-ready via existing patterns. However, the current request explicitly asks for a new TiAPI class ('TiPromise') that must be designed from scratch across SDK, native modules, and Hyperloop, which increases complexity compared to just adapting existing adapters. The similarity to ALOY-1174 (5 SP) is higher in scope since it involved updating sync adapters for promises but with less cross-system impact than building a new cross-platform promise abstraction throughout TiAPI.","TIMOB-25701 (0.60), ALOY-1174 (0.51), TIMOB-10307 (0.49), TIMOB-26571 (0.46), TIMOB-19702 (0.45), CLI-1369 (0.45), FAB-539 (0.44), TIMOB-26729 (0.44), MULE-7185 (0.43), TIMOB-19010 (0.43)","[{""issue_key"": ""TIMOB-25701"", ""story_points"": 0, ""similarity"": 0.6029, ""title"": ""Add support for promises to Titanium and Alloy""}, {""issue_key"": ""ALOY-1174"", ""story_points"": 5, ""similarity"": 0.5063, ""title"": ""Update sync adapters to support promises in addition to callbacks""}, {""issue_key"": ""TIMOB-10307"", ""story_points"": 8, ""similarity"": 0.4939, ""title"": ""BlackBerry: Add support of javascript implementation of parts of the Ti API""}, {""issue_key"": ""TIMOB-26571"", ""story_points"": 13, ""similarity"": 0.4577, ""title"": ""TiAPI: Global process object compatible with Node.js""}, {""issue_key"": ""TIMOB-19702"", ""story_points"": 8, ""similarity"": 0.4467, ""title"": ""Android: Support implementing native interfaces in hyperloop""}, {""issue_key"": ""CLI-1369"", ""story_points"": 1, ""similarity"": 0.4453, ""title"": ""Remove longjohn dependency""}, {""issue_key"": ""FAB-539"", ""story_points"": 5, ""similarity"": 0.441, ""title"": ""Implement crypto in python SDK""}, {""issue_key"": ""TIMOB-26729"", ""story_points"": 13, ""similarity"": 0.4385, ""title"": ""TiAPI: Ship baseline polyfills in built SDK""}, {""issue_key"": ""MULE-7185"", ""story_points"": 8, ""similarity"": 0.4315, ""title"": ""Analyze proper solution to MULE-6432 (true asynchronous <all>""}, {""issue_key"": ""TIMOB-19010"", ""story_points"": 21, ""similarity"": 0.4311, ""title"": ""Windows: Support Async methods on Native API wrappers""}]",,,,,
MULE-6417,/ by zero in ComponentStatistics,"Recently I have been querying JMX statistics periodically via the MXBean interface (domain=Mule.*, type=org.mule.Statistics). After collecting statistics for each MBean, I reset the bean by invoking """"""""clearStatistics"""""""" with no arguments, so that I can come back and collect fresh statistics later.    Howeven, when I do this while mule is under load, I see that the ComponentStatistics class starts to throw an exception on a divide-by-zero error. It tends to happen on multiple processor threads...",2,"The ticket describes a persistent divide-by-zero error in Mule's ComponentStatistics during high-load JMX stats collection, similar to MULE-9162 (2 SP) where ForEach components were loaded twice and caused registry issues leading to instability. The current issue is more severe as it involves a critical arithmetic exception that occurs repeatedly under load, likely due to improper state handling in statistics accumulation. Since the root cause appears to be a systemic flaw affecting all high-load stats collection scenarios (not just one component), this ticket's scope is broader than MULE-9162 and may require coordination across multiple subsystems for resolution.","MULE-9189 (0.62), MULE-13254 (0.61), MULE-9619 (0.60), MULE-12782 (0.59), MULE-8945 (0.59), MULE-9389 (0.59), MULE-13322 (0.59), MULE-13353 (0.59), MULE-8604 (0.58), MULE-9162 (0.58)","[{""issue_key"": ""MULE-9189"", ""story_points"": 0, ""similarity"": 0.6216, ""title"": ""RegistrationException \""\""More than one AbstractJmxAgent\""\"" when using domain and enabling jmx""}, {""issue_key"": ""MULE-13254"", ""story_points"": 2, ""similarity"": 0.6088, ""title"": ""Leak resolving metadata on try scope""}, {""issue_key"": ""MULE-9619"", ""story_points"": 1, ""similarity"": 0.6009, ""title"": ""NestedProcessors generates leaks of OperationMessageProcessor instances""}, {""issue_key"": ""MULE-12782"", ""story_points"": 2, ""similarity"": 0.5945, ""title"": ""Contention on ExceptionUtils.getCause - Upgrade commons lang to >=3.1""}, {""issue_key"": ""MULE-8945"", ""story_points"": 0, ""similarity"": 0.5944, ""title"": ""Exceptions in scatter-gather routes are difficult to find""}, {""issue_key"": ""MULE-9389"", ""story_points"": 0, ""similarity"": 0.5934, ""title"": ""Mule Context's getTransactionManager randomly returns null if called during context start""}, {""issue_key"": ""MULE-13322"", ""story_points"": 8, ""similarity"": 0.5886, ""title"": ""Error type not logged when exception is not ME""}, {""issue_key"": ""MULE-13353"", ""story_points"": 1, ""similarity"": 0.5869, ""title"": ""Migrate exceptionPayload from message to new error handling mechanism""}, {""issue_key"": ""MULE-8604"", ""story_points"": 2, ""similarity"": 0.5814, ""title"": ""Incorrect error processing on Jetty transport""}, {""issue_key"": ""MULE-9162"", ""story_points"": 2, ""similarity"": 0.5802, ""title"": ""ForEach component is loaded twice into the Registry""}]",,,,,
EVG-6568,New patch page loads huge documents containing data not immediately needed by views,"When I go to http://evergreen.spruce.s3-website-us-east-1.amazonaws.com/#/patches?user=<USER> I see that https://evergreen.mongodb.com/json/patches/user/<USER>page=0 is loaded which - currently for me - is a 6 MB json document. Processing this amount of data brings Firefox to its knees, and while Chromium appears to more or less cope it still takes a long time.    The application should intelligently load a sensible amount of data that it requires for presenting the current views instead of tryi...",5,"The ticket involves optimizing the new patch page to avoid loading large, unnecessary JSON documents like /json/patches/user/<USER>page=0, which currently slows browser performance. Similar past issues such as EVG-2091 (slow host list load) and EVG-12710 (laggy patches with many tasks) indicate that problems related to excessive data fetching for views are typically 2–5 story points due to the need for a focused solution like partial data loading or smarter pagination. This ticket's scope is comparable in complexity but targets a specific front-end optimization rather than backend performance tuning.","EVG-2091 (0.58), EVG-3330 (0.57), EVG-12710 (0.55), EVG-6226 (0.55), EVG-6812 (0.53), EVG-6641 (0.52), EVG-5861 (0.52), EVG-7602 (0.51), EVG-2909 (0.50), DM-12178 (0.49)","[{""issue_key"": ""EVG-2091"", ""story_points"": 2, ""similarity"": 0.5819, ""title"": ""Host list is very slow""}, {""issue_key"": ""EVG-3330"", ""story_points"": 1, ""similarity"": 0.5712, ""title"": ""fetch_all_executions tasks endpoint can be slow""}, {""issue_key"": ""EVG-12710"", ""story_points"": 5, ""similarity"": 0.5544, ""title"": ""Spruce is laggy for patches with large numbers of tasks""}, {""issue_key"": ""EVG-6226"", ""story_points"": 8, ""similarity"": 0.5474, ""title"": ""Create a list view component for patches page""}, {""issue_key"": ""EVG-6812"", ""story_points"": 2, ""similarity"": 0.5296, ""title"": ""Frozen webpage for task with many tests""}, {""issue_key"": ""EVG-6641"", ""story_points"": 5, ""similarity"": 0.5243, ""title"": ""Investigate config string for versions""}, {""issue_key"": ""EVG-5861"", ""story_points"": 5, ""similarity"": 0.5201, ""title"": ""Grid does not load for https://evergreen.mongodb.com/grid/mongodb-mongo-master""}, {""issue_key"": ""EVG-7602"", ""story_points"": 1, ""similarity"": 0.5087, ""title"": ""Intent host IDs sent to DescribeInstances API""}, {""issue_key"": ""EVG-2909"", ""story_points"": 1, ""similarity"": 0.4986, ""title"": ""json/tag and json/commit apis return different data for the same params""}, {""issue_key"": ""DM-12178"", ""story_points"": 1, ""similarity"": 0.4911, ""title"": ""jenkins run-rebuild s3 doc upload takes > 10 hours""}]",,,,,
EVG-6525,Agent monitor needs its own log prefix,This should be done to allow the agent monitor log files to be differentiated from the agent log files.,3,"The ticket requires isolating and distinguishing the logs of the agent monitor from those of the MongoDB agent, likely involving configuration changes or new logging mechanisms similar to MESOS-4087 (5 SP), which addressed separating master/agent logs from container logs. Since this task focuses solely on log prefix management for a single component rather than modifying executor/task logic or adding extensive documentation, it aligns more closely in scope with tickets like EVG-2494 (2 SP) that handled agent-specific code changes affecting logging behavior. The requested change is narrower and targeted at log separation, justifying the 3-point estimate.","EVG-6557 (0.65), EVG-7722 (0.63), EVG-2494 (0.60), EVG-6284 (0.59), MESOS-4206 (0.58), EVG-13237 (0.58), MESOS-7361 (0.57), MESOS-4087 (0.57), MESOS-8194 (0.56), MESOS-8871 (0.55)","[{""issue_key"": ""EVG-6557"", ""story_points"": 0, ""similarity"": 0.6451, ""title"": ""Update host communication time when bootstrapping with user data""}, {""issue_key"": ""EVG-7722"", ""story_points"": 0, ""similarity"": 0.6311, ""title"": ""Evergreen binary should be owned by distro user""}, {""issue_key"": ""EVG-2494"", ""story_points"": 2, ""similarity"": 0.5998, ""title"": ""Modify agent GetNextTask logic to take into account task groups""}, {""issue_key"": ""EVG-6284"", ""story_points"": 2, ""similarity"": 0.5945, ""title"": ""Agent should send its client version when fetching next task""}, {""issue_key"": ""MESOS-4206"", ""story_points"": 3, ""similarity"": 0.5804, ""title"": ""Write new logging-related documentation""}, {""issue_key"": ""EVG-13237"", ""story_points"": 2, ""similarity"": 0.5765, ""title"": ""Add check for changes to agent source code""}, {""issue_key"": ""MESOS-7361"", ""story_points"": 3, ""similarity"": 0.5705, ""title"": ""Command checks via agent pollute agent logs.""}, {""issue_key"": ""MESOS-4087"", ""story_points"": 5, ""similarity"": 0.5684, ""title"": ""Introduce a module for logging executor/task output""}, {""issue_key"": ""MESOS-8194"", ""story_points"": 3, ""similarity"": 0.5586, ""title"": ""Agents should handle acks for operations affecting default resources.""}, {""issue_key"": ""MESOS-8871"", ""story_points"": 3, ""similarity"": 0.5513, ""title"": ""Agent may fail to recover if the agent dies before image store cache checkpointed.""}]",,,,,
EVG-7309,Mutation to remove favorite project from user,"Given a project id, remove project from user's favorites",5,"This ticket is similar to EVG-7204 (adding a project to favorites via project ID) and EVG-13276 (modifying how deleted or filtered projects are shown in user views). Both had 5 story points because they involved changing the user's favorite/project view state through explicit project IDs. Since this task only reverses the addition—removing a favorite project—the scope is comparable, so I estimate 5 points.","EVG-7204 (0.87), EVG-7207 (0.78), EVG-13276 (0.54), EVG-3737 (0.52), COMPASS-3613 (0.45), EVG-6376 (0.44), EVG-6362 (0.43), EVG-2602 (0.41), TISTUD-1734 (0.39), APSTUD-4801 (0.38)","[{""issue_key"": ""EVG-7204"", ""story_points"": 5, ""similarity"": 0.8652, ""title"": ""Mutation to add project to user's favorites""}, {""issue_key"": ""EVG-7207"", ""story_points"": 2, ""similarity"": 0.7826, ""title"": ""Query for user's favorites""}, {""issue_key"": ""EVG-13276"", ""story_points"": 5, ""similarity"": 0.5418, ""title"": ""Create route to \u201cdelete\u201d branches.""}, {""issue_key"": ""EVG-3737"", ""story_points"": 1, ""similarity"": 0.5232, ""title"": ""Implicit project""}, {""issue_key"": ""COMPASS-3613"", ""story_points"": 5, ""similarity"": 0.4491, ""title"": ""Add name to connection and save connection to favourites""}, {""issue_key"": ""EVG-6376"", ""story_points"": 5, ""similarity"": 0.4449, ""title"": ""Enforce project permissions""}, {""issue_key"": ""EVG-6362"", ""story_points"": 1, ""similarity"": 0.4347, ""title"": ""Commit queue resume merge project not needed""}, {""issue_key"": ""EVG-2602"", ""story_points"": 2, ""similarity"": 0.4094, ""title"": ""Project aliases should use own collection""}, {""issue_key"": ""TISTUD-1734"", ""story_points"": 8, ""similarity"": 0.3918, ""title"": ""Titanium Studio: add validation to \""\""promote to project from folder\""\"" option for existing projects""}, {""issue_key"": ""APSTUD-4801"", ""story_points"": 13, ""similarity"": 0.3806, ""title"": ""Add portal controller to run a launch configuration for a particular project""}]",,,,,
EVG-8084,Host should decommission once max provision attempts is exceeded,"There's an off by one error where, because we increment the provision count at the end of the job, the condition {{shouldRetryProvisioning()}} will never return false, so the host will not decommission immediately when it runs out of attempts (it'll be caught by the 25 minute timeout, but it would be better for it to fail fast).",2,"The ticket describes a clear off-by-one logic error in host decommissioning when max provision attempts are reached, similar to EVG-7809 where provisioning failures led to unexpected host behavior and required intervention (1 SP). The scope here is narrowly focused on correcting the conditional check for immediate decommission rather than broader operational changes. This issue does not span multiple subsystems or require significant new features, so a single estimate suffices.","EVG-7809 (0.63), EVG-3107 (0.60), EVG-2604 (0.60), EVG-7832 (0.59), EVG-2357 (0.57), MESOS-4421 (0.56), EVG-6738 (0.56), EVG-6793 (0.55), MESOS-5378 (0.53), EVG-3270 (0.53)","[{""issue_key"": ""EVG-7809"", ""story_points"": 1, ""similarity"": 0.6263, ""title"": ""Evaluate idle host termination for user data hosts stuck in provisioning that do not have work""}, {""issue_key"": ""EVG-3107"", ""story_points"": 1, ""similarity"": 0.6044, ""title"": ""avoid terminating slow hosts that have provisioned""}, {""issue_key"": ""EVG-2604"", ""story_points"": 1, ""similarity"": 0.6036, ""title"": ""Spawn hosts have bad behavior when provisioning fails""}, {""issue_key"": ""EVG-7832"", ""story_points"": 2, ""similarity"": 0.5937, ""title"": ""Virtual workstations are killed shortly after provisioning""}, {""issue_key"": ""EVG-2357"", ""story_points"": 1, ""similarity"": 0.5673, ""title"": ""Server had provisioning failed but was still running tasks""}, {""issue_key"": ""MESOS-4421"", ""story_points"": 3, ""similarity"": 0.5589, ""title"": ""Document that /reserve, /create-volumes endpoints can return misleading \""\""success\""\""""}, {""issue_key"": ""EVG-6738"", ""story_points"": 1, ""similarity"": 0.5554, ""title"": ""User data provisioning should have deadline""}, {""issue_key"": ""EVG-6793"", ""story_points"": 1, ""similarity"": 0.55, ""title"": ""Host agent should no-op until the setup host job has run""}, {""issue_key"": ""MESOS-5378"", ""story_points"": 3, ""similarity"": 0.5334, ""title"": ""Terminating a framework during master failover leads to orphaned tasks""}, {""issue_key"": ""EVG-3270"", ""story_points"": 1, ""similarity"": 0.5326, ""title"": ""SetupHost should not attempt to set up a host if another job is there first""}]",,,,,
